姓名	性别			电话				QQ				地址				关系
--------------------------------------------------------------------------------------
姓名	性别			电话				QQ				地址				关系
马化腾	男			13343875549			676367186			陕西省				朋友

任正非	男			15941179434			449735763			四川省				朋友

董明珠	女			18215034787			903546175			青海省				同学

乔布斯	男			17654369548			986914110			四川省				亲人

张一鸣	男			15044606076			728284324			云南省				同学

雷军	男			13331129418			762484389			浙江省				朋友

黄峥	男			18126413868			315308370			安徽省				同学

贝索斯	男			18536325332			705607232			台湾省				亲人

王小川	男			18378735545			624756086			广东省				同学

丁磊	男			18046058162			508647958			河南省				亲人

周鸿祎	男			13616422792			57548580			河南省				亲人

刘强东	男			13912069390			113408998			河南省				同学

马斯克	男			13164977617			56494963			安徽省				亲人

李彦宏	男			15127612618			180727243			四川省				亲人

俞敏洪	男			18580976386			943184854			安徽省				同学

徐峥	男			15357459342			682356596			福建省				朋友

周冬雨	女			16734936007			171369356			湖南省				亲人

周杰伦	男			14571714088			755032105			湖南省				同学

张艺兴	男			15515384721			836878986			河南省				亲人

杨幂	女			17686397909			561254967			甘肃省				朋友

赵丽颖	女			19940186721			224025296			四川省				同学

吴亦凡	男			18170466958			398398687			吉林省				亲人

王一博	男			18389813056			811368971			甘肃省				同学

王俊凯	男			18609865478			953838377			贵州省				朋友

朱一龙	男			17327223544			88622901			海南省				朋友

杨紫	女			18941956033			947968883			湖南省				亲人

宋茜	女			14522114373			159039891			湖南省				同学

鹿晗	男			18452633988			422704625			河北省				朋友

杨颖	女			18904315391			593667691			河北省				朋友

华晨宇	男			17756725796			531935660			辽宁省				朋友

